designation,jd_utc,ra_deg,dec_deg,magnitude,band,obs_code,year,source,raw_line
0003I,2460875.49806,261.55715833333335,-18.247141666666668,18.02,G,W86,2025,mpc_real,0003I        2C2025 07 18.99806017 26 13.718-18 14 49.71         18.02GW#0JmIW86
0003I,2460875.501581,261.55484583333333,-18.247030555555558,17.95,G,W86,2025,mpc_real,0003I        2C2025 07 19.00158117 26 13.163-18 14 49.31         17.95GW#0JmIW86
0003I,2460875.505127,261.552575,-18.246850000000002,17.87,G,W86,2025,mpc_real,0003I        2C2025 07 19.00512717 26 12.618-18 14 48.66         17.87GW#0JmIW86
0003I,2460875.62794,261.47344166666664,-18.242569444444445,18.4,V,932,2025,mpc_real,0003I        KB2025 07 19.12794017 25 53.626-18 14 33.25         18.4 Vq#0JmI932
0003I,2460875.629231,261.47280000000006,-18.2426,18.1,V,932,2025,mpc_real,0003I        KB2025 07 19.12923117 25 53.472-18 14 33.36         18.1 Vq#0JmI932
0003I,2460875.638271,261.4669083333333,-18.2423,17.9,V,932,2025,mpc_real,0003I        KB2025 07 19.13827117 25 52.058-18 14 32.28         17.9 Vq#0JmI932
0003I,2460875.639564,261.46610833333335,-18.2421,18.0,V,932,2025,mpc_real,0003I        KB2025 07 19.13956417 25 51.866-18 14 31.56         18.0 Vq#0JmI932
0003I,2460875.640854,261.46525,-18.24203888888889,17.7,V,932,2025,mpc_real,0003I        KB2025 07 19.14085417 25 51.660-18 14 31.34         17.7 Vq#0JmI932
0003I,2460875.642146,261.46434166666666,-18.24203888888889,18.1,V,932,2025,mpc_real,0003I        KB2025 07 19.14214617 25 51.442-18 14 31.34         18.1 Vq#0JmI932
0003I,2460875.684301,261.4371875,-18.239322222222224,18.0,G,W87,2025,mpc_real,0003I        2C2025 07 19.18430117 25 44.925-18 14 21.56         18.00GW#0JmIW87
0003I,2460875.687829,261.4348958333333,-18.239166666666666,17.95,G,W87,2025,mpc_real,0003I        2C2025 07 19.18782917 25 44.375-18 14 21.00         17.95GW#0JmIW87
0003I,2460875.68955,261.4343666666667,-18.23990277777778,17.96,g,I41,2025,mpc_real,0003I         C2025 07 19.18955017 25 44.248-18 14 23.65         17.96gU#0K4YI41
0003I,2460875.690515,261.43358333333333,-18.23989166666667,17.97,g,I41,2025,mpc_real,0003I         C2025 07 19.19051517 25 44.060-18 14 23.61         17.97gU#0K4YI41
0003I,2460875.691391,261.4326208333334,-18.239008333333334,18.09,G,W87,2025,mpc_real,0003I        2C2025 07 19.19139117 25 43.829-18 14 20.43         18.09GW#0JmIW87
0003I,2460875.691456,261.43322916666665,-18.23986111111111,18.06,g,I41,2025,mpc_real,0003I         C2025 07 19.19145617 25 43.975-18 14 23.50         18.06gU#0K4YI41
0003I,2460875.694918,261.4303208333334,-18.238858333333333,17.94,G,W87,2025,mpc_real,0003I        2C2025 07 19.19491817 25 43.277-18 14 19.89         17.94GW#0JmIW87
0003I,2460875.69844,261.4280791666667,-18.238694444444445,18.02,G,W87,2025,mpc_real,0003I        2C2025 07 19.19844017 25 42.739-18 14 19.30         18.02GW#0JmIW87
0003I,2460875.701951,261.42581666666666,-18.23852777777778,17.98,G,W87,2025,mpc_real,0003I        2C2025 07 19.20195117 25 42.196-18 14 18.70         17.98GW#0JmIW87
0003I,2460875.755072,261.39215416666667,-18.23711388888889,17.48,r,I41,2025,mpc_real,0003I         C2025 07 19.25507217 25 34.117-18 14 13.61         17.48rU#0K4YI41
0003I,2460875.75715,261.39069166666667,-18.237030555555556,15.3,G,U52,2025,mpc_real,0003I        KB2025 07 19.25715 17 25 33.766-18 14 13.31         15.3 GV#0JmIU52
0003I,2460875.76007,261.3888916666667,-18.23695,16.7,G,U52,2025,mpc_real,0003I        KB2025 07 19.26007 17 25 33.334-18 14 13.02         16.7 GV#0JmIU52
0003I,2460875.76299,261.38665000000003,-18.23678888888889,17.1,G,U52,2025,mpc_real,0003I        KB2025 07 19.26299 17 25 32.796-18 14 12.44         17.1 GV#0JmIU52
0003I,2460875.769933,261.3826,-18.23640277777778,17.41,r,I41,2025,mpc_real,0003I         C2025 07 19.26993317 25 31.824-18 14 11.05         17.41rU#0K4YI41
0003I,2460875.94968,261.26733333333334,-18.227916666666665,16.1,G,E23,2025,mpc_real,0003I        KC2025 07 19.44968 17 25 04.16 -18 13 40.5          16.1 GV#0JmIE23
0003I,2460875.95675,261.2629166666667,-18.227833333333333,17.0,G,E23,2025,mpc_real,0003I        KC2025 07 19.45675 17 25 03.10 -18 13 40.2          17.0 GV#0JmIE23
0003I,2460875.96382,261.258375,-18.22758333333333,16.2,G,E23,2025,mpc_real,0003I        KC2025 07 19.46382 17 25 02.01 -18 13 39.3          16.2 GV#0JmIE23
0003I,2460876.030411,261.2154375,-18.22454722222222,18.05,G,Q64,2025,mpc_real,0003I        7C2025 07 19.53041117 24 51.705-18 13 28.37         18.05GW#0JmIQ64
0003I,2460876.033942,261.2131166666666,-18.224394444444442,18.03,G,Q64,2025,mpc_real,0003I        7C2025 07 19.53394217 24 51.148-18 13 27.82         18.03GW#0JmIQ64
0003I,2460876.037461,261.21087083333333,-18.224249999999998,17.96,G,Q64,2025,mpc_real,0003I        7C2025 07 19.53746117 24 50.609-18 13 27.30         17.96GW#0JmIQ64
0003I,2460876.040986,261.20852499999995,-18.224113888888887,17.95,G,Q64,2025,mpc_real,0003I        7C2025 07 19.54098617 24 50.046-18 13 26.81         17.95GW#0JmIQ64
0003I,2460876.044529,261.2062583333333,-18.223958333333332,17.85,G,Q64,2025,mpc_real,0003I        7C2025 07 19.54452917 24 49.502-18 13 26.25         17.85GW#0JmIQ64
0003I,2460876.3112,261.0363333333333,-18.2135,17.2,V,C82,2025,mpc_real,0003I        KC2025 07 19.81120 17 24 08.72 -18 12 48.6          17.2 VZ#0JmIC82
0003I,2460876.31367,261.0333333333333,-18.213805555555556,17.5,V,C82,2025,mpc_real,0003I        KC2025 07 19.81367 17 24 08.00 -18 12 49.7          17.5 VZ#0JmIC82
0003I,2460876.31434,261.0329,-18.213088888888887,17.7,G,095,2025,mpc_real,0003I        3C2025 07 19.81434 17 24 07.896-18 12 47.12         17.7 Gq#0JmI095
0003I,2460876.32729,261.02479166666666,-18.21258333333333,17.7,V,C82,2025,mpc_real,0003I        KC2025 07 19.82729 17 24 05.95 -18 12 45.3          17.7 VZ#0JmIC82
0003I,2460876.33019,261.02283333333327,-18.21238888888889,17.4,V,C82,2025,mpc_real,0003I        KC2025 07 19.83019 17 24 05.48 -18 12 44.6          17.4 VZ#0JmIC82
0003I,2460876.350713,261.0095166666666,-18.21064722222222,17.87,G,K91,2025,mpc_real,0003I        7C2025 07 19.85071317 24 02.284-18 12 38.33         17.87GW#0JmIK91
0003I,2460876.354189,261.0073333333333,-18.211416666666665,, ,K88,2025,mpc_real,0003I        KC2025 07 19.85418917 24 01.76 -18 12 41.1                V#0JmIK88
0003I,2460876.354236,261.00724999999994,-18.210508333333333,17.85,G,K91,2025,mpc_real,0003I        7C2025 07 19.85423617 24 01.740-18 12 37.83         17.85GW#0JmIK91
0003I,2460876.357756,261.0050083333333,-18.21033611111111,17.92,G,K91,2025,mpc_real,0003I        7C2025 07 19.85775617 24 01.202-18 12 37.21         17.92GW#0JmIK91
0003I,2460876.361279,261.00272083333334,-18.2102,17.9,G,K91,2025,mpc_real,0003I        7C2025 07 19.86127917 24 00.653-18 12 36.72         17.90GW#0JmIK91
0003I,2460876.36302,261.001425,-18.21093611111111,17.7,G,095,2025,mpc_real,0003I        3C2025 07 19.86302 17 24 00.342-18 12 39.37         17.7 Gq#0JmI095
0003I,2460876.3655,260.999875,-18.210666666666665,17.1,G,C40,2025,mpc_real,0003I        1C2025 07 19.86550 17 23 59.97 -18 12 38.4          17.1 GX#0JmIC40
0003I,2460876.365858,260.99970833333333,-18.21088888888889,, ,K88,2025,mpc_real,0003I        KC2025 07 19.86585817 23 59.93 -18 12 39.2                V#0JmIK88
