JDTDB,Calendar_Date,X,Y,Z,VX,VY,VZ
2461002.25,A.D. 2025-Nov-22 18:00:00.0000,-501313.5055947464,-827724.8269005088,20498.53130570106,0.01261142025799556,-0.0003543280653729243,-0.0002374035507230431
2461002.5,A.D. 2025-Nov-23 00:00:00.0000,-501041.1101826526,-827732.4309867707,20493.40369255713,0.01261037608105588,-0.0003497541989824803,-0.0002373753542251652
2461002.75,A.D. 2025-Nov-23 06:00:00.0000,-500768.7373947673,-827739.9362914262,20488.27669423621,0.0126093254152321,-0.0003451816551160004,-0.0002373466247482
2461003.0,A.D. 2025-Nov-23 12:00:00.0000,-500496.387371772,-827747.342845307,20483.15032211121,0.01260826821400669,-0.0003406106440375548,-0.0002373173754182529
2461003.25,A.D. 2025-Nov-23 18:00:00.0000,-500224.0602552377,-827754.650683819,20478.02458725806,0.01260720444155709,-0.0003360413789220772,-0.0002372876205909691
2461003.5,A.D. 2025-Nov-24 00:00:00.0000,-499951.7561873918,-827761.8598469979,20472.89950042963,0.01260613407293567,-0.0003314740751714496,-0.0002372573758121101
2461003.75,A.D. 2025-Nov-24 06:00:00.0000,-499679.4753108824,-827768.9703795498,20467.77507203066,0.01260505709419682,-0.0003269089497166942,-0.0002372266577721399
2461004.0,A.D. 2025-Nov-24 12:00:00.0000,-499407.2177685387,-827775.9823308771,20462.65131209354,0.01260397350246992,-0.0003223462203106859,-0.0002371954842550747
2461004.25,A.D. 2025-Nov-24 18:00:00.0000,-499134.9837031326,-827782.8957550876,20457.528230255,0.01260288330597747,-0.0003177861048160448,-0.0002371638740819135
2461004.5,A.D. 2025-Nov-25 00:00:00.0000,-498862.7732571386,-827789.7107109898,20452.4058357348,0.01260178652399839,-0.0003132288204930979,-0.0002371318470490303
2461004.75,A.D. 2025-Nov-25 06:00:00.0000,-498590.5865724962,-827796.4272620727,20447.284137315,0.0126006831867765,-0.0003086745832930328,-0.0002370994238619836
2461005.0,A.D. 2025-Nov-25 12:00:00.0000,-498318.4237903745,-827803.0454764685,20442.16314332135,0.01259957333537562,-0.0003041236071615848,-0.0002370666260652642
2461005.25,A.D. 2025-Nov-25 18:00:00.0000,-498046.2850509405,-827809.5654269035,20437.04286160576,0.01259845702148237,-0.0002995761033588199,-0.0002370334759685854
2461005.5,A.D. 2025-Nov-26 00:00:00.0000,-497774.170493132,-827815.9871906323,20431.92329953064,0.0125973343071593,-0.000295032279800781,-0.0002369999965703876
2461005.75,A.D. 2025-Nov-26 06:00:00.0000,-497502.0802544372,-827822.3108493583,20426.80446395505,0.01259620526455109,-0.0002904923404289755,-0.0002369662114793203
2461006.0,A.D. 2025-Nov-26 12:00:00.0000,-497230.0144706797,-827828.5364891418,20421.686361222,0.01259506997554756,-0.0002859564846138759,-0.0002369321448345379
2461006.25,A.D. 2025-Nov-26 18:00:00.0000,-496957.9732758126,-827834.6642002951,20416.56899714837,0.01259392853140787,-0.0002814249065987988,-0.0002368978212257392
2461006.5,A.D. 2025-Nov-27 00:00:00.0000,-496685.9568017203,-827840.6940772664,20411.45237701555,0.01259278103235121,-0.0002768977949907152,-0.0002368632656139653
2461006.75,A.D. 2025-Nov-27 06:00:00.0000,-496413.9651780294,-827846.6262185124,20406.33650556247,0.01259162758711999,-0.0002723753323047235,-0.0002368285032542614
2461007.0,A.D. 2025-Nov-27 12:00:00.0000,-496141.99853193,-827852.4607263632,20401.22138698015,0.01259046831252249,-0.00026785769456909,-0.0002367935596214073
2461007.25,A.D. 2025-Nov-27 18:00:00.0000,-495870.0569880059,-827858.1977068776,20396.10702490754,0.01258930333296294,-0.0002633450509979322,-0.0002367584603400111
2461007.5,A.D. 2025-Nov-28 00:00:00.0000,-495598.1406680763,-827863.8372696935,20390.99342242908,0.01258813277996752,-0.0002588375637387788,-0.0002367232311203669
2461007.75,A.D. 2025-Nov-28 06:00:00.0000,-495326.2496910467,-827869.3795278737,20385.88058207341,0.01258695679171649,-0.0002543353877023982,-0.0002366878977015764
2461008.0,A.D. 2025-Nov-28 12:00:00.0000,-495054.3841727698,-827874.8245977475,20380.76850581344,0.01258577551259281,-0.0002498386704824363,-0.0002366524858035393
2461008.25,A.D. 2025-Nov-28 18:00:00.0000,-494782.544225917,-827880.1725987537,20375.65719506697,0.01258458909275943,-0.0002453475523725469,-0.0002366170210895292
2461008.5,A.D. 2025-Nov-29 00:00:00.0000,-494510.729959857,-827885.4236532836,20370.54665069835,0.01258339768777793,-0.0002408621664888362,-0.0002365815291411764
2461008.75,A.D. 2025-Nov-29 06:00:00.0000,-494238.9414805861,-827890.577886403,20365.43687303475,0.01258220145378445,-0.0002363826255853509,-0.0002365460339383237
2461009.0,A.D. 2025-Nov-29 12:00:00.0000,-493967.1788906332,-827895.6354256482,20360.32786187343,0.01258100055606236,-0.0002319090481758372,-0.0002365105607801211
2461009.25,A.D. 2025-Nov-29 18:00:00.0000,-493695.4422889508,-827900.5964009791,20355.21961647575,0.01257979516029898,-0.0002274415392084128,-0.0002364751339038875
2461009.5,A.D. 2025-Nov-30 00:00:00.0000,-493423.7317708805,-827905.4609445314,20350.11213558388,0.012578585435139,-0.0002229801951541195,-0.0002364397771349609
2461009.75,A.D. 2025-Nov-30 06:00:00.0000,-493152.0474280936,-827910.2291904326,20345.00541743042,0.01257737155160274,-0.0002185251039978674,-0.0002364045138325416
2461010.0,A.D. 2025-Nov-30 12:00:00.0000,-492880.3893485474,-827914.9012746196,20339.89945974876,0.01257615368253205,-0.0002140763452721613,-0.000236369366841579
2461010.25,A.D. 2025-Nov-30 18:00:00.0000,-492608.7576164505,-827919.4773346562,20334.7942597848,0.01257493200206422,-0.000209633990129479,-0.0002363343584503766
2461010.5,A.D. 2025-Dec-01 00:00:00.0000,-492337.1523122408,-827923.9575095538,20329.68981430941,0.01257370668513381,-0.0002051981014493805,-0.0002362995103535993
2461010.75,A.D. 2025-Dec-01 06:00:00.0000,-492065.5735125733,-827928.3419395934,20324.5861196316,0.01257247790700239,-0.0002007687339766382,-0.0002362648436203771
2461011.0,A.D. 2025-Dec-01 12:00:00.0000,-491794.0212903178,-827932.6307661528,20319.48317161202,0.01257124584281609,-0.0001963459344868791,-0.0002362303786672037
2461011.25,A.D. 2025-Dec-01 18:00:00.0000,-491522.4957145658,-827936.8241315354,20314.38096567802,0.01257001066719071,-0.0001919297419764292,-0.0002361961352353446
2461011.5,A.D. 2025-Dec-02 00:00:00.0000,-491250.9968506466,-827940.9221788045,20309.27949683764,0.0125687725538241,-0.0001875201878732409,-0.0002361621323724686
2461011.75,A.D. 2025-Dec-02 06:00:00.0000,-490979.5247601505,-827944.925051623,20304.17875969521,0.01256753167513553,-0.0001831172962659737,-0.0002361283884182347
2461012.0,A.D. 2025-Dec-02 12:00:00.0000,-490708.0795009608,-827948.8328940972,20299.0787484668,0.01256628820193154,-0.0001787210841484771,-0.0002360949209935683
2461012.25,A.D. 2025-Dec-02 18:00:00.0000,-490436.6611272911,-827952.6458506254,20293.97945699544,0.01256504230309775,-0.0001743315616771057,-0.0002360617469933709
2461012.5,A.D. 2025-Dec-03 00:00:00.0000,-490165.2696897308,-827956.3640657543,20288.88087876741,0.01256379414531624,-0.0001699487324384636,-0.0002360288825824176
2461012.75,A.D. 2025-Dec-03 06:00:00.0000,-489893.9052352948,-827959.9876840399,20283.78300692758,0.01256254389280767,-0.000165572593725345,-0.0002359963431942036
2461013.0,A.D. 2025-Dec-03 12:00:00.0000,-489622.5678074798,-827963.5168499136,20278.68583429523,0.01256129170709764,-0.0001612031368187965,-0.0002359641435325083
